AMOT	PLG
PLG	PCOLCE
PLG	MEP1A
LAMA3	PLG
PLG	F2RL1
SERPINI1	PLG
CPB2	PLG
DEK	TFAP2A
SERPINB13	PLG
SERPING1	PLG
CHGA	PLG
NGF	PLG
TFPI2	PLG
RUVBL1	PLG
CDCP1	PLG
PRPF40A	SMAD4
PLAT	SERPINE1
F2	SERPINE1
INPPL1	FLNC
CASP1	TFAP2A
MMP3	SERPINE1
PLAU	SERPINE1
VTN	SERPINE1
LRP2	SERPINE1
LRP1B	SERPINE1
MAPK1	PLAT
SPARC	PLAT
CLEC3B	PLAT
PLAU	PLAT
F10	PLAT
YBX1	TFAP2A
LAMA3	PLAT
MAPK3	PLAT
